	id	sentence	word	tlms	all_mets	pos	tag	local
0	100406_aID1AD	, I agree with this statement, because especially today, where the kind of advertising, that is showed, isn't really childfriendly.	agree	0	0	VERB	VBP	I agree with this statement
1	100406_aID1AD	, I agree with this statement, because especially today, where the kind of advertising, that is showed, isn't really childfriendly.	showed	0	0	VERB	VBN	that is showed
2	100406_aID1AD	As an example, little time ago my little sister and I watched a kids film on a regular channel and suddenly a advertising about sex toys came up.	watched	0	0	VERB	VBD	little time ago my little sister and I watched a kids film on a regular channel and suddenly a advertising about sex toys came up .
3	100406_aID1AD	As an example, little time ago my little sister and I watched a kids film on a regular channel and suddenly a advertising about sex toys came up.	came	0	0	VERB	VBD	little time ago my little sister and I watched a kids film on a regular channel and suddenly a advertising about sex toys came up .
4	100406_aID1AD	Of course they didn't know what this kind of toys are, but honestly it is a shame, that the television allows that.	know	0	0	VERB	VB	Of course they did n't know what this kind of toys are
5	100406_aID1AD	Of course they didn't know what this kind of toys are, but honestly it is a shame, that the television allows that.	allows	0	1	VERB	VBZ	that the television allows that .
6	100406_aID1AD	Kids ask questions, if they didn't understand something, so maybe the parents won't tell them, what it is, but the bigger brother could explain them really well, what the practices are, that you do with these toys.	understand	0	0	VERB	VB	if they did n't understand something
7	100406_aID1AD	Kids ask questions, if they didn't understand something, so maybe the parents won't tell them, what it is, but the bigger brother could explain them really well, what the practices are, that you do with these toys.	tell	0	0	VERB	VB	so maybe the parents wo n't tell them
8	100406_aID1AD	Kids ask questions, if they didn't understand something, so maybe the parents won't tell them, what it is, but the bigger brother could explain them really well, what the practices are, that you do with these toys.	explain	0	0	VERB	VB	but the bigger brother could explain them really well
9	100406_aID1AD	Through this they get much more involved in things, that are subject of grown-ups.	get	0	0	VERB	VBP	Through this they get much more involved in things
10	100406_aID1AD	"The skinny, ""beautiful"" models present their products in a sexual way and talk in a seductive voice."	present	0	0	VERB	VBP	`` beautiful '' models present their products in a sexual way and talk in a seductive voice .
11	100406_aID1AD	"The skinny, ""beautiful"" models present their products in a sexual way and talk in a seductive voice."	talk	0	0	VERB	NN	`` beautiful '' models present their products in a sexual way and talk in a seductive voice .
12	100406_aID1AD	This can lead especially girls,but also boys, to think that this anorexic women or muscle men are the beauty ideals.	lead	0	0	VERB	VB	This can lead especially girls
13	100406_aID1AD	This can lead especially girls,but also boys, to think that this anorexic women or muscle men are the beauty ideals.	think	0	0	VERB	VB	to think that this anorexic women or muscle men are the beauty ideals .
14	100406_aID1AD	Because they are in an age, in which they are really manipulative and don't think for theirself, they are likely to take over the opinion of the people and things, that are around them or are shown them.	think	0	0	VERB	VB	in which they are really manipulative and do n't think for theirself
15	100406_aID1AD	Because they are in an age, in which they are really manipulative and don't think for theirself, they are likely to take over the opinion of the people and things, that are around them or are shown them.	take	0	1	VERB	VB	they are likely to take over the opinion of the people and things
16	100406_aID1AD	Because they are in an age, in which they are really manipulative and don't think for theirself, they are likely to take over the opinion of the people and things, that are around them or are shown them.	shown	0	0	VERB	VBN	that are around them or are shown them .
17	100406_aID1AD	They want to be just like the models, that are in television, so skinny, so trained, so beautiful.	want	0	0	VERB	VBP	They want to be just like the models
18	100406_aID1AD	But to reach such an supernatural body image, they have to lose unhealthy weight, which is achieved trough eating disorders, and of course photoshop, also it can lead to psychic problems and suicide, because they didn't see themself as good enough.	reach	0	1	VERB	VB	But to reach such an supernatural body image
19	100406_aID1AD	But to reach such an supernatural body image, they have to lose unhealthy weight, which is achieved trough eating disorders, and of course photoshop, also it can lead to psychic problems and suicide, because they didn't see themself as good enough.	lose	0	0	VERB	VB	they have to lose unhealthy weight
20	100406_aID1AD	But to reach such an supernatural body image, they have to lose unhealthy weight, which is achieved trough eating disorders, and of course photoshop, also it can lead to psychic problems and suicide, because they didn't see themself as good enough.	achieved	0	0	VERB	VBN	which is achieved trough eating disorders
21	100406_aID1AD	But to reach such an supernatural body image, they have to lose unhealthy weight, which is achieved trough eating disorders, and of course photoshop, also it can lead to psychic problems and suicide, because they didn't see themself as good enough.	lead	0	0	VERB	VB	also it can lead to psychic problems and suicide
22	100406_aID1AD	But to reach such an supernatural body image, they have to lose unhealthy weight, which is achieved trough eating disorders, and of course photoshop, also it can lead to psychic problems and suicide, because they didn't see themself as good enough.	see	0	0	VERB	VB	because they did n't see themself as good enough .
23	100406_aID1AD	In general children shouldn't waste time on electronic devises, which aren't the real world.	waste	1	1	VERB	VB	In general children should n't waste time on electronic devises
24	100406_aID1AD	They learn much more about a good life, when they are in the woods or playing games with their friends.	learn	0	0	VERB	VBP	They learn much more about a good life
25	100406_aID1AD	They learn much more about a good life, when they are in the woods or playing games with their friends.	playing	0	0	VERB	VBG	when they are in the woods or playing games with their friends .
26	100406_aID1AD	So they learn to socialize and to respect each other.	learn	0	0	VERB	VBP	So they learn to socialize and to respect each other .
27	100406_aID1AD	So they learn to socialize and to respect each other.	socialize	0	0	VERB	VB	So they learn to socialize and to respect each other .
28	100406_aID1AD	So they learn to socialize and to respect each other.	respect	0	0	VERB	VB	So they learn to socialize and to respect each other .
29	106871_aID1AD	Our life includes more and more technic.	includes	0	0	VERB	VBZ	Our life includes more and more technic .
30	106871_aID1AD	It brought many advantages for our live for sure but it has a negative side too.	brought	0	0	VERB	VBD	It brought many advantages for our live for sure but it has a negative side too .
31	106871_aID1AD	Technic became a big part of our live and with it television.	became	0	0	VERB	VBD	Technic became a big part of our live and with it television .
32	106871_aID1AD	So a point for letting children watch television at young age is, that it could be good to confront them with it already in a young age.	letting	0	0	VERB	VBG	So a point for letting children watch television at young age is
33	106871_aID1AD	So a point for letting children watch television at young age is, that it could be good to confront them with it already in a young age.	watch	0	0	VERB	VB	So a point for letting children watch television at young age is
34	106871_aID1AD	So a point for letting children watch television at young age is, that it could be good to confront them with it already in a young age.	confront	0	0	VERB	VB	that it could be good to confront them with it already in a young age .
35	106871_aID1AD	There are also themes in the television where children can learn from.	learn	0	0	VERB	VB	There are also themes in the television where children can learn from .
36	106871_aID1AD	On the other hand the mother or father could, instead of showing their child this film, look with it at a book about animals.	showing	0	0	VERB	VBG	instead of showing their child this film
37	106871_aID1AD	In this case the parents could spend time with their child and be interactive with it.	spend	1	1	VERB	VB	In this case the parents could spend time with their child and be interactive with it .
38	106871_aID1AD	But if a child only sits in front of the television it will have less time to go outside, play with children of the same age and do what children are supposed to do: Playing, running and use their creativity.	sits	0	0	VERB	VBZ	But if a child only sits in front of the television it will have less time to go outside
39	106871_aID1AD	But if a child only sits in front of the television it will have less time to go outside, play with children of the same age and do what children are supposed to do: Playing, running and use their creativity.	go	0	0	VERB	VB	But if a child only sits in front of the television it will have less time to go outside
40	106871_aID1AD	But if a child only sits in front of the television it will have less time to go outside, play with children of the same age and do what children are supposed to do: Playing, running and use their creativity.	play	0	0	VERB	NN	play with children of the same age and do what children are supposed to do
41	106871_aID1AD	But if a child only sits in front of the television it will have less time to go outside, play with children of the same age and do what children are supposed to do: Playing, running and use their creativity.	supposed	0	0	VERB	VBN	play with children of the same age and do what children are supposed to do
42	106871_aID1AD	But if a child only sits in front of the television it will have less time to go outside, play with children of the same age and do what children are supposed to do: Playing, running and use their creativity.	Playing	0	0	VERB	NN	Playing
43	106871_aID1AD	But if a child only sits in front of the television it will have less time to go outside, play with children of the same age and do what children are supposed to do: Playing, running and use their creativity.	running	0	0	VERB	VBG	running and use their creativity .
44	106871_aID1AD	But if a child only sits in front of the television it will have less time to go outside, play with children of the same age and do what children are supposed to do: Playing, running and use their creativity.	use	0	0	VERB	VB	running and use their creativity .
45	106871_aID1AD	That brings us to the next point.	brings	1	1	VERB	VBZ	That brings us to the next point .
46	106871_aID1AD	And I think that is the worst part about this.	think	0	0	VERB	VBP	And I think that is the worst part about this .
47	106871_aID1AD	If the child has never learned to occupy himself it won't be able to when it's olter too.	learned	0	0	VERB	VBN	If the child has never learned to occupy himself it wo n't be able to when it 's olter too .
48	106871_aID1AD	If the child has never learned to occupy himself it won't be able to when it's olter too.	occupy	0	0	VERB	VB	If the child has never learned to occupy himself it wo n't be able to when it 's olter too .
