	id	sentence	word	tlms	all_mets	pos	tag	local
0	267842_aID2TE	I think that it is more important, that the teacher is able to relate well with students because if a teacher has a bad realtionship with his/her students, the students wont be motivated in his/her subject.	think	0	0	VERB	VBP	I think that it is more important
1	267842_aID2TE	I think that it is more important, that the teacher is able to relate well with students because if a teacher has a bad realtionship with his/her students, the students wont be motivated in his/her subject.	relate	0	0	VERB	VB	that the teacher is able to relate well with students because if a teacher has a bad realtionship with his/her students
2	267842_aID2TE	I think that it is more important, that the teacher is able to relate well with students because if a teacher has a bad realtionship with his/her students, the students wont be motivated in his/her subject.	wont	0	0	VERB	VBP	the students wont be motivated in his/her subject .
3	267842_aID2TE	I think that it is more important, that the teacher is able to relate well with students because if a teacher has a bad realtionship with his/her students, the students wont be motivated in his/her subject.	motivated	0	0	VERB	VBN	the students wont be motivated in his/her subject .
4	267842_aID2TE	For example if you have a bad relationship with your Frenchteacher, I'm sure you won't study as much if you have a teacher you really like.	'm	0	0	VERB	VBP	I 'm sure you wo n't study as much if you have a teacher you really like .
5	267842_aID2TE	For example if you have a bad relationship with your Frenchteacher, I'm sure you won't study as much if you have a teacher you really like.	study	0	0	VERB	VB	I 'm sure you wo n't study as much if you have a teacher you really like .
6	267842_aID2TE	There are so many teachers outthere, which can not explain thinks or which are just antisocial.	explain	0	0	VERB	VB	which can not explain thinks or which are just antisocial .
7	267842_aID2TE	"A teacher should be teached more in a ""pädagogisch"" way and they should love kids or young people."	teached	0	0	VERB	VBN	A teacher should be teached more in a `` pädagogisch '' way and they should love kids or young people .
8	267842_aID2TE	"A teacher should be teached more in a ""pädagogisch"" way and they should love kids or young people."	love	0	0	VERB	VB	A teacher should be teached more in a `` pädagogisch '' way and they should love kids or young people .
9	267842_aID2TE	Because if a teacher is able to relate well with students, mostly he/she is also able to explain thinks.	relate	0	0	VERB	VB	Because if a teacher is able to relate well with students
10	267842_aID2TE	Because if a teacher is able to relate well with students, mostly he/she is also able to explain thinks.	explain	0	0	VERB	VB	mostly he/she is also able to explain thinks .
11	267842_aID2TE	There are also so many teachers, who know there subject so good that they can't imagine that the students don't know that or that they just don't understand it.	know	0	0	VERB	VBP	who know there subject so good that they ca n't imagine that the students do n't know that or that they just do n't understand it .
12	267842_aID2TE	There are also so many teachers, who know there subject so good that they can't imagine that the students don't know that or that they just don't understand it.	imagine	0	0	VERB	VB	who know there subject so good that they ca n't imagine that the students do n't know that or that they just do n't understand it .
13	267842_aID2TE	There are also so many teachers, who know there subject so good that they can't imagine that the students don't know that or that they just don't understand it.	know	0	0	VERB	VB	who know there subject so good that they ca n't imagine that the students do n't know that or that they just do n't understand it .
14	267842_aID2TE	There are also so many teachers, who know there subject so good that they can't imagine that the students don't know that or that they just don't understand it.	understand	0	0	VERB	VB	who know there subject so good that they ca n't imagine that the students do n't know that or that they just do n't understand it .
15	267842_aID2TE	Often they speak and speak and they don't understand, that nobody is understandig.	speak	0	0	VERB	VBP	Often they speak and speak and they do n't understand
16	267842_aID2TE	Often they speak and speak and they don't understand, that nobody is understandig.	speak	0	0	VERB	VBP	Often they speak and speak and they do n't understand
17	267842_aID2TE	Often they speak and speak and they don't understand, that nobody is understandig.	understand	0	0	VERB	VB	Often they speak and speak and they do n't understand
18	267842_aID2TE	To sumarize my points, I really think that's more important that a teacher know how to speak and how to treat there students, as that they have a excellent knowledge of the subject, there are teaching.	sumarize	0	0	VERB	VB	To sumarize my points
19	267842_aID2TE	To sumarize my points, I really think that's more important that a teacher know how to speak and how to treat there students, as that they have a excellent knowledge of the subject, there are teaching.	think	0	0	VERB	VBP	I really think that 's more important that a teacher know how to speak and how to treat there students
20	267842_aID2TE	To sumarize my points, I really think that's more important that a teacher know how to speak and how to treat there students, as that they have a excellent knowledge of the subject, there are teaching.	know	0	0	VERB	VB	I really think that 's more important that a teacher know how to speak and how to treat there students
21	267842_aID2TE	To sumarize my points, I really think that's more important that a teacher know how to speak and how to treat there students, as that they have a excellent knowledge of the subject, there are teaching.	speak	0	0	VERB	VB	I really think that 's more important that a teacher know how to speak and how to treat there students
22	267842_aID2TE	To sumarize my points, I really think that's more important that a teacher know how to speak and how to treat there students, as that they have a excellent knowledge of the subject, there are teaching.	treat	0	0	VERB	VB	I really think that 's more important that a teacher know how to speak and how to treat there students
23	267842_aID2TE	To sumarize my points, I really think that's more important that a teacher know how to speak and how to treat there students, as that they have a excellent knowledge of the subject, there are teaching.	teaching	0	0	VERB	VBG	there are teaching .
24	242918_aID2TE	This statement maybe depends a little bit on in wich grade you're discussing it.	depends	0	0	VERB	VBZ	This statement maybe depends a little bit on in wich grade you 're discussing it .
25	242918_aID2TE	This statement maybe depends a little bit on in wich grade you're discussing it.	discussing	0	0	VERB	VBG	This statement maybe depends a little bit on in wich grade you 're discussing it .
26	242918_aID2TE	Working with children in this young age is still about education, too. later school is mostly about marks and studying and the distance between teacher and stundents's getting bigger.	Working	0	0	VERB	VBG	Working with children in this young age is still about education
